scenario,request_id,arrival_time_ms,prompt_len,output_len,client_ttft_ms,client_tpot_ms,client_e2e_ms,prefill_service_ms,post_prefill_to_first_byte_ms,decode_headers_ms,client_minus_proxy_first_byte_ms,absolute_prefill_complete_ms,absolute_decode_first_byte_ms,proxy_decode_duration_ms,internal_request_id,kv_receive_start_ms,kv_receive_complete_ms,prefill_complete_to_kv_receive_start_ms,kv_receive_duration_ms,kv_receive_complete_to_first_byte_ms,readiness_cohort_id,readiness_cohort_size
saturated,req_5,200.0,1536,32,3223.562378436327,81.54460198936924,5754.717107862234,1525.6049999999998,1688.391,9.422,8.95537843632701,1726.216,3414.607,2530.8190000000004,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b4accee3374e4c999c27d90a85a4cb43,1506.3955979421735,1508.0725913867354,-19.820402057826414,1.6769934445619583,1706.5344086132645,saturated_cohort_2,13
saturated,req_6,250.0,256,64,3176.282444037497,56.77195296933254,6754.097727127373,1476.828,1688.349,6.902,10.213444037497084,1727.72,3416.069,3578.838,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_61723aac7ad44c29ba04f1558fe92172,1459.4677155837417,1461.1046481877565,-18.252284416258362,1.6369326040148735,1704.9643518122434,saturated_cohort_2,13
saturated,req_7,300.0,768,128,3123.478911817074,45.03165827110762,8843.251899816096,2142.7439999999997,973.1660000000002,7.509,7.246911817073851,2443.066,3416.232,5722.102999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_198c26341b444cd2b4205bf1b9c7bb7c,1412.3402554541826,2126.442722044885,-730.7257445458172,714.1024665907025,989.7892779551148,saturated_cohort_2,13
saturated,req_8,350.0,384,32,3073.522076010704,81.71178067042943,5607.795720919967,2091.825,972.9000000000001,6.409,8.544076010703975,2442.078,3414.978,2533.424,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_74ce1d32c33f4ed4b1d54985f6aa00ac,2075.24660974741,2078.82269192487,-16.831390252590154,3.5760821774601936,986.15530807513,saturated_cohort_2,13
saturated,req_9,400.0,2048,64,3020.95852419734,56.77032166175426,6599.907335825264,2039.499,973.2649999999999,10.021,7.936524197340077,2439.757,3413.022,3578.005,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b7907b51a7154e6390dc915c9074f34c,2026.7219105735421,2028.490537777543,-13.035089426457944,1.7686272040009499,984.5314622224569,saturated_cohort_2,13
saturated,req_10,450.0,128,128,2975.528148934245,45.037203593047586,8695.677101612091,2929.003,35.94599999999991,6.479,9.963148934245055,3379.619,3415.565,5723.028999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_e1ed702114794ffebe62be071e1f4d62,1981.2076408416033,2907.8619154170156,-948.4113591583969,926.6542745754123,57.7030845829845,saturated_cohort_2,13
saturated,req_11,500.0,512,32,2925.777295604348,81.54327782892412,5456.287523731589,2879.632,36.88999999999987,6.898,9.002295604348092,3379.885,3416.775,2531.2279999999996,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_4806be28b7304cea9c60ef6ac5ad905b,2858.350253663957,2862.7035981044173,-21.5347463360431,4.353344440460205,54.07140189558277,saturated_cohort_2,13
saturated,req_12,550.0,1024,128,2874.8955549672246,45.039403340302584,8595.526496879756,2828.962,36.64399999999978,9.12,8.672554967224642,3379.579,3416.223,5723.121999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1018b1afa8164717aa1647bb1ac614f3,2812.6359889283776,2814.3043275922537,-16.94301107162255,1.6683386638760567,51.91867240774627,saturated_cohort_2,13
saturated,req_13,600.0,256,128,2825.2772903069854,45.03818795700946,8546.208027750254,2778.4120000000003,36.46699999999964,6.363,10.126290306985538,3378.684,3415.151,5723.168,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_d9a4a14749da441388a3aab50c489a9c,2763.62163759768,2765.239396132529,-15.062362402320105,1.61775853484869,49.91160386747106,saturated_cohort_2,13
saturated,req_14,650.0,1536,64,2808.9117677882314,56.732666530897696,6383.54426715523,2729.522,72.72400000000016,9.251,6.410767788231169,3379.777,3452.501,3574.1939999999995,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_5849d197f4ce4897a618a5f6d8d04b6a,2756.601291708648,2758.522842079401,26.82429170864816,1.9215503707528114,43.97815792059919,saturated_cohort_2,13
saturated,req_15,700.0,384,128,4104.091354645789,34.672969622229495,8508.366691879928,3055.4089999999997,1042.3060000000005,7.661,6.116354645788306,3755.669,4797.975,4403.35,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_25b0b3aa9b1f4ad580c6416195cf42f7,2747.5814800709486,3044.0360978245735,-308.08751992905127,296.4546177536249,1053.9389021754268,saturated_cohort_3,6
saturated,req_16,750.0,768,32,4056.2056796625257,39.154520498648765,5272.52824511379,3006.145,1043.614,8.272,6.184679662525468,3756.407,4800.021000000001,1213.5480000000002,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_db2156b55b0740cbb4b7b25506151e49,2994.801001623273,2998.5304065048695,-11.605998376727257,3.7294048815965652,1051.4905934951307,saturated_cohort_3,6
saturated,req_17,800.0,128,64,4009.695153683424,35.87519543038474,6270.464316010475,2955.605,1043.817,7.691,9.73515368342396,3756.143,4799.96,2260.857,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1100228c5b34428bab9a1e5b2f4f82fc,2948.2601610943675,2950.0253405421972,-7.882838905632525,1.7651794478297234,1049.9346594578028,saturated_cohort_3,6
saturated,req_18,850.0,2048,32,3953.564721159637,39.2529105827693,5170.927945524454,3914.9519999999998,32.35600000000022,10.565,5.992721159636858,4765.216,4797.572,1215.143,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_01ff8e52f5ca4d2397d7f87efe16ce0a,2898.147227242589,3894.0541334450245,-1017.0687727574109,995.9069062024355,53.517866554975626,saturated_cohort_3,6
saturated,req_19,900.0,1024,32,3908.9943012222648,39.12962225055502,5123.496168293059,3867.1420000000003,32.434999999999945,9.911,8.793301222264745,4767.766,4800.201,1214.0020000000004,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_06a5face41df4fccb1dedb7846356fe2,3846.3958287611604,3849.298791028559,-21.370171238839703,2.9029622673988342,50.902208971440814,saturated_cohort_3,6
saturated,req_20,950.0,512,64,3858.5065696388483,35.855735430405254,6118.180800229311,3817.546,32.471000000000004,7.548,8.227569638848308,4767.808,4800.279,2260.0089999999996,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1a9403784734483fab205077370208a4,3799.511419609189,3801.135436631739,-18.29658039081096,1.624017022550106,49.14356336826086,saturated_cohort_3,6
