request_id,arrival_time_ms,prompt_len,output_len,actual_prompt_tokens,actual_output_tokens,repeat_count,request_start_ms_mean,ttft_ms_mean,ttft_ms_std,ttft_ms_min,ttft_ms_p50,ttft_ms_p90,ttft_ms_p99,ttft_ms_max,tpot_ms_mean,tpot_ms_std,tpot_ms_min,tpot_ms_p50,tpot_ms_p90,tpot_ms_p99,tpot_ms_max,e2e_ms_mean,e2e_ms_std,e2e_ms_min,e2e_ms_p50,e2e_ms_p90,e2e_ms_p99,e2e_ms_max
req_11,1000.0,512,128,512,128,3,1002.661630200843,1701.8941457693775,158.3849831629575,1589.7716861218214,1590.0264624506235,1858.712723478675,1919.1671322099864,1925.8842887356877,41.22643368783116,0.9953757563489799,39.822417986029244,41.84061058569611,41.98114011055372,42.01275925364668,42.01627249176812,6938.525325308244,33.72143883968536,6904.54205032438,6926.541871391237,6972.902017645538,6983.333050552756,6984.492054209113
req_12,1100.0,512,128,512,128,3,1102.7878026167552,1601.7407759403188,157.4358989372735,1489.4613670185208,1491.3749424740672,1757.7838031575084,1817.7257968112826,1824.3860183283687,41.21960265185498,0.988515658343991,39.82416527184445,41.844446798713186,41.96104606774848,41.98728090328142,41.9901958850073,6838.234829095502,33.46341269540339,6804.728667251766,6826.044813729823,6872.3537677899,6882.773282453418,6883.93100630492
req_13,1200.0,512,128,512,128,3,1202.4596901610494,1800.2897708987196,49.68522641171041,1730.2179355174303,1830.8106027543545,1838.0347400903702,1839.6601709909737,1839.840774424374,39.01885930214107,0.5229405837371806,38.61297276164368,38.686412650593155,39.54303652546772,39.7357768973145,39.75719249418636,6757.062059206267,18.11063604161612,6736.472200602293,6754.164718091488,6775.272350758314,6780.02156810835,6780.549258925021
req_14,1300.0,512,128,512,128,3,1302.8161311522126,1699.7365212688844,49.88580607159804,1629.2153866961598,1733.2744002342224,1736.030701547861,1736.6508693434298,1736.7197768762708,39.02183995481942,0.5297997290226295,38.60297386248515,38.693272046686154,39.5540735735668,39.74775391711494,39.769273955286955,6656.743415320913,18.130632704348855,6636.745044961572,6652.845527045429,6675.080844573677,6680.083791017532,6680.6396739557385
req_15,1400.0,512,128,512,128,3,1402.748524832229,1597.799515351653,49.93333114547984,1527.2905752062798,1629.6815443783998,1635.0774500519037,1636.291528828442,1636.4264264702797,39.02418861102088,0.5276651843073472,38.61533761699134,38.687988111059965,39.55298970622106,39.74761506513231,39.769240105011335,6555.152098027368,17.856249740554134,6535.8904814347625,6550.640379078686,6573.268422670662,6578.359732478857,6578.925433568656
req_16,1500.0,512,128,512,128,3,1502.8931436439354,1499.9035643413663,48.899596639232584,1430.83786778152,1531.4027685672045,1536.2565990537405,1537.348710913211,1537.4700566753745,39.02365767893203,0.5291144726614817,38.60972462383312,38.69077445220525,39.55453405904723,39.74887997058668,39.77047396075773,6457.751310740908,19.798177263235463,6436.20369117707,6453.042007051408,6477.814988605678,6483.388909455389,6484.0082339942455
req_17,1600.0,512,128,512,128,3,1601.390376376609,1401.2705100079377,49.640845371027304,1331.1567939817905,1433.2662550732493,1438.1640357896686,1439.2660364508629,1439.3884809687734,39.02390687249777,0.5330772428295317,38.6040274083145,38.6915985553518,39.559195434131965,39.7544047318575,39.776094653827,6359.22209204485,19.719945877524022,6337.563997134566,6354.8357002437115,6379.1804030537605,6384.657961186022,6385.266578756273
req_18,1700.0,512,128,512,128,3,1703.2356327399611,1299.0041403099895,48.71015140109503,1230.4014842957258,1327.894833870232,1336.5518489852548,1338.4996773861349,1338.7161027640104,39.023501309627314,0.5332624005603651,38.608815740999276,38.68533507370808,39.55814950608128,39.75453275336525,39.776353114174576,6256.392247664432,21.05600203949278,6232.386182062328,6253.137022256851,6277.550235390663,6283.043208345771,6283.653538674116
req_19,1800.0,512,128,512,128,3,1802.7971955016255,1226.7550953353445,69.03179442771474,1129.150121472776,1273.8155229017138,1276.6028178855777,1277.229959256947,1277.2996416315436,38.942029883014406,0.5912310112666268,38.466141060522695,38.58459329481904,39.53720289392499,39.75154005372383,39.77535529370148,6173.74433670193,10.031576307325578,6159.91903655231,6177.901158109307,6182.310483977199,6183.302582297474,6183.412815444171
req_20,1900.0,512,128,512,128,3,1902.8026467810075,1185.7419454803069,13.637042165196771,1175.488417968154,1176.7229586839676,1199.356159567833,1204.4486297667027,1205.0144597887993,38.534669909538245,0.05324482294268521,38.459612188611445,38.56697663899482,38.575332048605745,38.577212015768204,38.57742090100848,6080.426952801645,17.706124796548682,6060.714297927916,6076.910968869925,6098.30666705966,6103.12069915235,6103.655591607094
