request_id,arrival_time_ms,prompt_len,output_len,generated_tokens,prefill_start_time_ms,prefill_end_time_ms,kv_transfer_start_time_ms,kv_transfer_end_time_ms,first_token_time_ms,completion_time_ms,ttft_ms,tpot_ms,e2e_ms,status,prefill_replica,decode_replica
req_12,9215.506975817667,512,128,128,9215.506975817667,9371.337109151,9371.337109151,9381.677109151,9429.155666666671,12568.675100000004,213.6486908490042,24.72062545931758,3353.168124182337,completed,0,0
req_13,10786.025752829524,512,128,128,10786.025752829524,10941.855886162857,10941.855886162857,10952.195886162857,10994.788966666674,14142.952100000004,208.76321383715003,24.78868608923882,3356.92634717048,completed,0,0
req_14,11239.537155104295,512,128,128,11239.537155104295,11395.367288437628,11395.367288437628,11405.707288437628,11441.054366666673,14601.206700000002,201.51721156237727,24.883089238845116,3361.669544895707,completed,0,0
req_15,11336.192621269707,512,128,128,11395.367288437628,11551.197421770961,11551.197421770961,11561.537421770961,11589.012566666674,14753.384800000002,252.81994539696643,24.916316797900222,3417.1921787302945,completed,0,0
req_16,12692.870789091456,512,128,128,12692.870789091456,12848.700922424789,12848.700922424789,12859.040922424789,12890.650433333336,16090.45706666667,197.7796442418803,25.195327821522312,3397.586277575214,completed,0,0
req_17,12983.133628644082,512,128,128,12983.133628644082,13138.963761977415,13138.963761977415,13149.303761977415,13184.916933333338,16394.31846666667,201.7833046892556,25.2708782152231,3411.1848380225892,completed,0,0
req_18,13135.481226054408,512,128,128,13138.963761977415,13294.793895310748,13294.793895310748,13305.133895310748,13333.170833333337,16543.895766666672,197.68960727892954,25.281298687664055,3408.4145406122643,completed,0,0
req_19,13457.254276424042,512,128,128,13457.254276424042,13613.084409757375,13613.084409757375,13623.424409757376,13658.701966666671,16864.92640000001,201.4476902426286,25.245861679790078,3407.6721235759687,completed,0,0
req_20,13707.848757991276,512,128,128,13707.848757991276,13863.67889132461,13863.67889132461,13874.01889132461,13912.390700000004,17113.88223333335,204.54194200872735,25.208594750656257,3406.033475342072,completed,0,0
req_21,14282.476079698466,512,128,128,14282.476079698466,14438.3062130318,14438.3062130318,14448.6462130318,14498.622266666669,17684.69740000002,216.14618696820253,25.08720577427835,3402.2213203015526,completed,0,0
req_22,15840.665902112965,512,128,128,15840.665902112965,15996.496035446298,15996.496035446298,16006.836035446298,16039.149100000004,19215.35033333334,198.48319788703884,25.00945853018374,3374.684431220374,completed,0,0
req_23,16958.21910305572,512,128,128,16958.21910305572,17114.04923638905,17114.04923638905,17124.38923638905,17163.742900000016,20407.86623333334,205.52379694429692,25.544278215223038,3449.6471302776226,completed,0,0
req_24,19476.21170229664,512,128,128,19476.21170229664,19632.041835629974,19632.041835629974,19642.381835629974,19680.318366666677,22865.6663,204.10666437003601,25.08147979002617,3389.4545977033595,completed,0,0
req_25,20424.537316217582,512,128,128,20424.537316217582,20580.367449550915,20580.367449550915,20590.707449550915,20638.402900000005,23777.171733333333,213.86558378242262,24.71471522309707,3352.6344171157507,completed,0,0
req_26,21261.25525161282,512,128,128,21261.25525161282,21417.085384946153,21417.085384946153,21427.425384946153,21465.465699999993,24590.172633333335,204.21044838717353,24.603991601049938,3328.9173817205156,completed,0,0
req_27,21447.061807335864,512,128,128,21447.061807335864,21602.891940669197,21602.891940669197,21613.231940669197,21638.185733333325,24764.38256666667,191.1239259974609,24.615723097112962,3317.320759330807,completed,0,0
req_28,22456.62488837962,512,128,128,22456.62488837962,22612.455021712954,22612.455021712954,22622.795021712955,22667.63163333333,25818.547566666664,211.00674495370913,24.810361679790027,3361.922678287043,completed,0,0
req_29,23361.12581088701,512,128,128,23361.12581088701,23516.955944220343,23516.955944220343,23527.295944220343,23554.01513333333,26873.960066666674,192.88932244632088,26.14129868766412,3512.834255779664,completed,0,0
