batch_id,stage,replica_id,tp_size,start_time_ms,end_time_ms,batch_size,query_tokens,prefill_tokens,decode_count,compute_ms,communication_ms,iteration_overhead_ms,estimated_time_ms,kv_blocks_used,kv_blocks_total,kv_block_utilization,extrapolated
decode_r0_batch_105,decode,0,4,3075.6860999999994,3100.136133333333,4,4,0,4,19.3083,1.8084,3.3333333333333335,24.450033333333334,140,22136,0.006324539212143115,False
decode_r0_batch_106,decode,0,4,3100.136133333333,3124.5861666666665,4,4,0,4,19.3083,1.8084,3.3333333333333335,24.450033333333334,140,22136,0.006324539212143115,False
decode_r0_batch_107,decode,0,4,3124.5861666666665,3149.0474999999997,4,4,0,4,19.32,1.808,3.3333333333333335,24.461333333333332,141,22136,0.006369714492229852,False
decode_r0_batch_108,decode,0,4,3149.0474999999997,3173.508833333333,4,4,0,4,19.32,1.808,3.3333333333333335,24.461333333333332,141,22136,0.006369714492229852,False
decode_r0_batch_109,decode,0,4,3173.508833333333,3197.981466666666,4,4,0,4,19.3316,1.8077,3.3333333333333335,24.47263333333333,141,22136,0.006369714492229852,False
decode_r0_batch_110,decode,0,4,3197.981466666666,3222.4540999999995,4,4,0,4,19.3316,1.8077,3.3333333333333335,24.47263333333333,142,22136,0.006414889772316588,False
decode_r0_batch_111,decode,0,4,3222.4540999999995,3246.938033333333,4,4,0,4,19.3432,1.8073,3.3333333333333335,24.483933333333333,142,22136,0.006414889772316588,False
decode_r0_batch_112,decode,0,4,3246.938033333333,3271.4219666666663,4,4,0,4,19.3432,1.8073,3.3333333333333335,24.483933333333333,142,22136,0.006414889772316588,False
decode_r0_batch_113,decode,0,4,3271.4219666666663,3295.9170999999997,4,4,0,4,19.3548,1.807,3.3333333333333335,24.49513333333333,142,22136,0.006414889772316588,False
decode_r0_batch_114,decode,0,4,3295.9170999999997,3320.412233333333,4,4,0,4,19.3548,1.807,3.3333333333333335,24.49513333333333,143,22136,0.006460065052403325,False
decode_r0_batch_115,decode,0,4,3320.412233333333,3344.9184666666665,4,4,0,4,19.3663,1.8067,3.3333333333333335,24.50623333333333,143,22136,0.006460065052403325,False
decode_r0_batch_116,decode,0,4,3344.9184666666665,3369.4247,4,4,0,4,19.3663,1.8067,3.3333333333333335,24.50623333333333,143,22136,0.006460065052403325,False
decode_r0_batch_117,decode,0,4,3369.4247,3393.9421333333335,4,4,0,4,19.3777,1.8063,3.3333333333333335,24.517433333333333,143,22136,0.006460065052403325,False
decode_r0_batch_118,decode,0,4,3393.9421333333335,3418.459566666667,4,4,0,4,19.3777,1.8063,3.3333333333333335,24.517433333333333,143,22136,0.006460065052403325,False
decode_r0_batch_119,decode,0,4,3418.459566666667,3442.9880000000003,4,4,0,4,19.3891,1.806,3.3333333333333335,24.528433333333332,144,22136,0.006505240332490061,False
decode_r0_batch_120,decode,0,4,3442.9880000000003,3467.5164333333337,4,4,0,4,19.3891,1.806,3.3333333333333335,24.528433333333332,144,22136,0.006505240332490061,False
decode_r0_batch_121,decode,0,4,3467.5164333333337,3492.055966666667,4,4,0,4,19.4005,1.8057,3.3333333333333335,24.53953333333333,144,22136,0.006505240332490061,False
decode_r0_batch_122,decode,0,4,3492.055966666667,3516.5955,4,4,0,4,19.4005,1.8057,3.3333333333333335,24.53953333333333,144,22136,0.006505240332490061,False
decode_r0_batch_123,decode,0,4,3516.5955,3541.1459333333332,4,4,0,4,19.4118,1.8054,3.3333333333333335,24.55043333333333,145,22136,0.006550415612576798,False
decode_r0_batch_124,decode,0,4,3541.1459333333332,3565.6963666666666,4,4,0,4,19.4118,1.8054,3.3333333333333335,24.55043333333333,145,22136,0.006550415612576798,False
decode_r0_batch_125,decode,0,4,3565.6963666666666,3590.2578,4,4,0,4,19.4231,1.805,3.3333333333333335,24.561433333333333,145,22136,0.006550415612576798,False
decode_r0_batch_126,decode,0,4,3590.2578,3614.819233333333,4,4,0,4,19.4231,1.805,3.3333333333333335,24.561433333333333,146,22136,0.006595590892663534,False
decode_r0_batch_127,decode,0,4,3614.819233333333,3639.3915666666667,4,4,0,4,19.4343,1.8047,3.3333333333333335,24.572333333333333,146,22136,0.006595590892663534,False
decode_r0_batch_128,decode,0,4,3639.3915666666667,3663.9639,4,4,0,4,19.4343,1.8047,3.3333333333333335,24.572333333333333,146,22136,0.006595590892663534,False
decode_r0_batch_129,decode,0,4,3663.9639,3688.7137333333335,3,3,0,3,19.4525,1.964,3.3333333333333335,24.74983333333333,106,22136,0.004788579689194073,False
decode_r0_batch_130,decode,0,4,3688.7137333333335,3713.467266666667,3,3,0,3,19.4563,1.9639,3.3333333333333335,24.753533333333333,106,22136,0.004788579689194073,False
decode_r0_batch_131,decode,0,4,3713.467266666667,3738.2244000000005,3,3,0,3,19.4602,1.9637,3.3333333333333335,24.757133333333332,106,22136,0.004788579689194073,False
decode_r0_batch_132,decode,0,4,3738.2244000000005,3762.985233333334,3,3,0,3,19.464,1.9635,3.3333333333333335,24.76083333333333,106,22136,0.004788579689194073,False
prefill_r0_batch_5,prefill,0,4,3741.1225641063693,3896.9526974397027,1,512,512,0,88.4224,64.0744,3.3333333333333335,155.83013333333335,32,22136,0.0014456089627755693,False
decode_r0_batch_133,decode,0,4,3762.985233333334,3787.749666666667,3,3,0,3,19.4678,1.9633,3.3333333333333335,24.764433333333333,106,22136,0.004788579689194073,False
decode_r0_batch_134,decode,0,4,3787.749666666667,3812.5177000000003,3,3,0,3,19.4716,1.9631,3.3333333333333335,24.76803333333333,106,22136,0.004788579689194073,False
decode_r0_batch_135,decode,0,4,3812.5177000000003,3837.289433333334,3,3,0,3,19.4754,1.9629,3.3333333333333335,24.771733333333334,107,22136,0.004833754969280809,False
decode_r0_batch_136,decode,0,4,3837.289433333334,3862.0647666666673,3,3,0,3,19.4792,1.9628,3.3333333333333335,24.775333333333332,107,22136,0.004833754969280809,False
decode_r0_batch_137,decode,0,4,3862.0647666666673,3886.843700000001,3,3,0,3,19.483,1.9626,3.3333333333333335,24.77893333333333,107,22136,0.004833754969280809,False
decode_r0_batch_138,decode,0,4,3886.843700000001,3911.6262333333343,3,3,0,3,19.4868,1.9624,3.3333333333333335,24.782533333333333,107,22136,0.004833754969280809,False
decode_r0_batch_139,decode,0,4,3911.6262333333343,3936.0705666666677,4,4,0,4,19.3025,1.8085,3.3333333333333335,24.444333333333333,140,22136,0.006324539212143115,False
decode_r0_batch_140,decode,0,4,3936.0705666666677,3960.520600000001,4,4,0,4,19.3083,1.8084,3.3333333333333335,24.450033333333334,141,22136,0.006369714492229852,False
decode_r0_batch_141,decode,0,4,3960.520600000001,3984.9762333333347,4,4,0,4,19.3142,1.8082,3.3333333333333335,24.45563333333333,141,22136,0.006369714492229852,False
decode_r0_batch_142,decode,0,4,3984.9762333333347,4009.437566666668,4,4,0,4,19.32,1.808,3.3333333333333335,24.461333333333332,142,22136,0.006414889772316588,False
decode_r0_batch_143,decode,0,4,4009.437566666668,4033.904600000001,4,4,0,4,19.3258,1.8078,3.3333333333333335,24.467033333333333,142,22136,0.006414889772316588,False
decode_r0_batch_144,decode,0,4,4033.904600000001,4058.3772333333345,4,4,0,4,19.3316,1.8077,3.3333333333333335,24.47263333333333,142,22136,0.006414889772316588,False
decode_r0_batch_145,decode,0,4,4058.3772333333345,4082.855466666668,4,4,0,4,19.3374,1.8075,3.3333333333333335,24.478233333333332,142,22136,0.006414889772316588,False
decode_r0_batch_146,decode,0,4,4082.855466666668,4107.339400000001,4,4,0,4,19.3432,1.8073,3.3333333333333335,24.483933333333333,142,22136,0.006414889772316588,False
decode_r0_batch_147,decode,0,4,4107.339400000001,4131.828933333334,4,4,0,4,19.349,1.8072,3.3333333333333335,24.48953333333333,142,22136,0.006414889772316588,False
decode_r0_batch_148,decode,0,4,4131.828933333334,4156.324066666667,4,4,0,4,19.3548,1.807,3.3333333333333335,24.49513333333333,142,22136,0.006414889772316588,False
decode_r0_batch_149,decode,0,4,4156.324066666667,4180.8248,4,4,0,4,19.3605,1.8068,3.3333333333333335,24.500733333333333,142,22136,0.006414889772316588,False
decode_r0_batch_150,decode,0,4,4180.8248,4205.331033333334,4,4,0,4,19.3663,1.8067,3.3333333333333335,24.50623333333333,142,22136,0.006414889772316588,False
decode_r0_batch_151,decode,0,4,4205.331033333334,4229.842866666667,4,4,0,4,19.372,1.8065,3.3333333333333335,24.511833333333332,143,22136,0.006460065052403325,False
decode_r0_batch_152,decode,0,4,4229.842866666667,4254.3603,4,4,0,4,19.3777,1.8063,3.3333333333333335,24.517433333333333,143,22136,0.006460065052403325,False
decode_r0_batch_153,decode,0,4,4254.3603,4278.883233333334,4,4,0,4,19.3834,1.8062,3.3333333333333335,24.52293333333333,143,22136,0.006460065052403325,False
decode_r0_batch_154,decode,0,4,4278.883233333334,4303.411666666667,4,4,0,4,19.3891,1.806,3.3333333333333335,24.528433333333332,143,22136,0.006460065052403325,False
