request_id,source_replica_id,lane_id,mode,size_mb,queued_time_ms,start_time_ms,end_time_ms,duration_ms
req_32,0,0,pcie,128.0,0.0,27804.943539828288,27815.283539828288,10.34
req_33,0,0,pcie,128.0,0.0,28920.666365137724,28931.006365137724,10.34
req_34,0,0,pcie,128.0,0.0,29220.185456523534,29230.525456523534,10.34
req_35,0,0,pcie,128.0,0.0,33699.42999251768,33709.76999251768,10.34
req_36,0,0,pcie,128.0,0.0,33944.801664827435,33955.14166482743,10.34
req_37,0,0,pcie,128.0,0.0,34562.272104047515,34572.61210404751,10.34
req_38,0,0,pcie,128.0,0.0,35260.870923135175,35271.21092313517,10.34
req_39,0,0,pcie,128.0,0.0,35668.31080686088,35678.650806860875,10.34
req_40,0,0,pcie,128.0,0.0,38524.730720979656,38535.07072097965,10.34
req_41,0,0,pcie,128.0,0.0,39170.77818721953,39181.11818721952,10.34
req_42,0,0,pcie,128.0,0.0,40301.099053493774,40311.43905349377,10.34
req_43,0,0,pcie,128.0,0.0,41234.439592847375,41244.77959284737,10.34
req_44,0,0,pcie,128.0,0.0,43384.456195345236,43394.79619534523,10.34
req_45,0,0,pcie,128.0,0.0,45502.698458081664,45513.03845808166,10.34
req_46,0,0,pcie,128.0,0.0,47159.03552357687,47169.37552357687,10.34
req_47,0,0,pcie,128.0,0.0,48264.598694567816,48274.93869456781,10.34
req_48,0,0,pcie,128.0,0.0,48420.42882790115,48430.76882790115,10.34
req_49,0,0,pcie,128.0,0.0,50029.428152389366,50039.76815238936,10.34
req_50,0,0,pcie,128.0,0.0,51532.76350752631,51543.103507526306,10.34
req_51,0,0,pcie,128.0,0.0,52962.90347761011,52973.24347761011,10.34
req_52,0,0,pcie,128.0,0.0,53687.42127929406,53697.761279294056,10.34
req_53,0,0,pcie,128.0,0.0,54542.44412789027,54552.78412789026,10.34
req_54,0,0,pcie,128.0,0.0,54805.4113372573,54815.751337257294,10.34
req_55,0,0,pcie,128.0,0.0,56543.553450244835,56553.89345024483,10.34
req_56,0,0,pcie,128.0,0.0,56816.00752233982,56826.34752233982,10.34
req_57,0,0,pcie,128.0,0.0,59051.258573526,59061.598573526,10.34
req_58,0,0,pcie,128.0,0.0,60214.399673991626,60224.73967399162,10.34
req_59,0,0,pcie,128.0,0.0,60808.75540805166,60819.09540805165,10.34
req_60,0,0,pcie,128.0,0.0,62752.64187269838,62762.98187269838,10.34
req_61,0,0,pcie,128.0,0.0,66486.52240953625,66496.86240953625,10.34
req_62,0,0,pcie,128.0,0.0,66882.75069947362,66893.09069947361,10.34
req_63,0,0,pcie,128.0,0.0,67137.64818265765,67147.98818265765,10.34
req_64,0,0,pcie,128.0,0.0,67293.47831599099,67303.81831599098,10.34
req_65,0,0,pcie,128.0,0.0,68627.29161592704,68637.63161592704,10.34
req_66,0,0,pcie,128.0,0.0,69818.00141496667,69828.34141496666,10.34
req_67,0,0,pcie,128.0,0.0,70149.98732851486,70160.32732851486,10.34
req_68,0,0,pcie,128.0,0.0,70305.8174618482,70316.1574618482,10.34
req_69,0,0,pcie,128.0,0.0,70473.38079105501,70483.720791055,10.34
req_70,0,0,pcie,128.0,0.0,70879.75785689647,70890.09785689646,10.34
req_71,0,0,pcie,128.0,0.0,71879.73483498956,71890.07483498956,10.34
req_72,0,0,pcie,128.0,0.0,72670.60235203044,72680.94235203044,10.34
req_73,0,0,pcie,128.0,0.0,74375.26915645812,74385.60915645811,10.34
req_74,0,0,pcie,128.0,0.0,74996.51781439838,75006.85781439838,10.34
req_75,0,0,pcie,128.0,0.0,77162.05848163263,77172.39848163263,10.34
req_76,0,0,pcie,128.0,0.0,80003.75436852005,80014.09436852005,10.34
req_77,0,0,pcie,128.0,0.0,80180.95048139822,80191.29048139822,10.34
req_78,0,0,pcie,128.0,0.0,80336.78061473156,80347.12061473155,10.34
req_79,0,0,pcie,128.0,0.0,80961.24956417273,80971.58956417273,10.34
req_80,0,0,pcie,128.0,0.0,81692.86692130954,81703.20692130954,10.34
req_81,0,0,pcie,128.0,0.0,84534.81185272102,84545.15185272101,10.34
req_82,0,0,pcie,128.0,0.0,85287.67326806877,85298.01326806877,10.34
req_83,0,0,pcie,128.0,0.0,87465.03846028651,87475.3784602865,10.34
req_84,0,0,pcie,128.0,0.0,87620.86859361985,87631.20859361984,10.34
req_85,0,0,pcie,128.0,0.0,87957.93257310482,87968.27257310481,10.34
req_86,0,0,pcie,128.0,0.0,89245.25331288128,89255.59331288128,10.34
req_87,0,0,pcie,128.0,0.0,89706.21542256321,89716.55542256321,10.34
