config_id,tp_size,num_gpu_blocks,block_size_tokens,max_num_batched_tokens,max_num_seqs,chunked_prefill,arrival_rate_rps,offered_input_tokens_per_s,offered_output_tokens_per_s,sustainable,completion_ratio,worst_completion_ratio,sla_success_ratio,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p99_ms,output_throughput_tokens_per_s,goodput_tokens_per_s,completed_requests_per_s,extrapolated_batch_ratio,max_kv_block_utilization,compute_time_share,communication_time_share,estimated_bottleneck
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,0.5,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,1.0,512.0,128.0,True,1.0,1.0,1.0,192.5283339641801,369.6096663332364,29.156203805774002,38.54472497375337,5114.252802683255,123.51258583130311,123.51258583130311,0.9649420768070556,0.10328544170366427,0.02715034333212866,0.7612106472035048,0.12735497232795454,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,2.0,1024.0,256.0,False,1.0,1.0,0.8566666666666668,201.57252069557353,2525.410303671885,38.46922598425211,47.48887819422595,8063.4248702129,242.76505102580896,208.12420237996363,1.8966019611391325,0.008140783096219817,0.028099024213950125,0.7283022147834707,0.18260930861808353,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,4.0,2048.0,512.0,False,1.0,1.0,0.08166666666666667,13324.906496087855,25567.96002125775,47.379402493438384,47.4868401574804,30293.067371547364,320.1902411392255,26.131042439123032,2.5014862589001994,0.007858159271517914,0.028189374774123598,0.7044555533025672,0.22465693047356036,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,6.0,3072.0,768.0,False,1.0,1.0,0.04833333333333334,21224.039981328115,41331.22018155254,45.59316272965867,46.98459842519693,45298.32841260144,325.7354943434278,15.734747845974896,2.5448085495580295,0.0033808466028555275,0.028912179255511383,0.7051473785833346,0.2236695963206241,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,8.0,4096.0,1024.0,False,1.0,1.0,0.028333333333333335,25335.23088994955,49479.77685140541,45.06828320209977,46.969324863517066,53344.2652621455,327.2591173941252,9.269315190149849,2.556711854641603,0.002393777897546306,0.028912179255511383,0.7066859899315051,0.22210961849456515,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,10.0,5120.0,1280.0,False,1.0,1.0,0.018333333333333333,27797.50893550871,54421.94230422956,45.00072099737514,46.94696159842547,58196.52560680525,327.9361558755351,6.016040801080006,2.562001217777618,0.0015983619574993148,0.028912179255511383,0.7064974214583483,0.22227896378528378,compute
tp4_kv22136_bt2048_seq16_chunked,4,22136,16,2048,16,True,12.0,6144.0,1536.0,False,1.0,1.0,0.01,29450.448343213768,57833.94556266731,44.6208989501309,46.94018721522334,61519.01657643627,327.8773002211919,3.2787730022119184,2.5615414079780616,0.0013993604156866469,0.028912179255511383,0.7079994093654266,0.2208181847745989,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,0.5,256.0,64.0,True,1.0,1.0,1.0,189.6596750983566,315.41690220654317,27.364857742782714,33.27553286351725,4422.142700049957,62.26359314275936,62.26359314275936,0.4864343214278075,0.347534955616924,0.01865739067582219,0.7821003658927185,0.10283954907626652,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,1.0,512.0,128.0,True,1.0,1.0,1.0,192.5283339641801,369.6096663332364,29.156203805774002,38.54472497375337,5114.252802683255,123.51258583130311,123.51258583130311,0.9649420768070556,0.10328544170366427,0.02715034333212866,0.7612106472035048,0.12735497232795454,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,2.0,1024.0,256.0,False,1.0,1.0,0.8766666666666666,199.35874032578582,678.3115813374188,38.13604580052516,57.720305553805865,7628.5798325514525,242.76888954918306,212.91981030359906,1.8966319496029926,0.008382430261974121,0.05384893386338995,0.7286285032099808,0.18252319802814776,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,4.0,2048.0,512.0,False,1.0,1.0,0.008333333333333333,4702.1045206602785,9058.878770573197,72.9260039370081,74.07571390813662,17454.74234362294,406.33558205272067,3.3860429092129127,3.17449673478688,0.014708884855158385,0.05583664618720636,0.6876518649733127,0.2630200613151534,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,6.0,3072.0,768.0,False,1.0,1.0,0.0,12590.875071134695,24240.784365885844,71.69564278215218,73.2076685774279,29870.4694120794,414.7013823727203,0.0,3.239854549786877,0.0069703413231278774,0.05750813155041561,0.6875414389247995,0.2633033263535835,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,8.0,4096.0,1024.0,False,1.0,1.0,0.0,17001.295039949608,32761.147965820335,70.245506167979,73.34411646456692,37047.8260917273,415.63829304257484,0.0,3.247174164395116,0.005537112156600826,0.057824358511022765,0.6900502056041212,0.2610798326022077,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,10.0,5120.0,1280.0,False,1.0,1.0,0.0,19547.769512792434,37809.15830589627,69.6233083989502,73.41603457742792,41634.631873471946,416.2637535158051,0.0,3.2520605743422273,0.0029617306797772454,0.057824358511022765,0.6912521976581516,0.25996722853642873,compute
tp4_kv22136_bt2048_seq32_chunked,4,22136,16,2048,32,True,12.0,6144.0,1536.0,False,1.0,1.0,0.0,21309.399076547135,41430.61595333402,69.38140866141741,73.6495888740158,45167.23387643631,414.73476101217847,0.0,3.2401153204076443,0.00296502286491163,0.057824358511022765,0.6924002805611691,0.2590340704656733,compute
tp4_kv22136_bt4096_seq8_chunked,4,22136,16,4096,8,True,0.25,128.0,32.0,True,1.0,1.0,1.0,184.48624987854177,274.2510108047104,27.79659973753415,31.172626695537293,4129.379265325941,31.260344537961917,31.260344537961917,0.24422144170282747,0.615475850411941,0.010119262739428984,0.7988354245950666,0.0876896329282102,compute
